Account,Type,RVP,Engagement,Status,Next Critical Date,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,5/11 Status,5/19 Status,5/25 Status,6/8 Needs,6/16 Needs,6/23 Needs,6/29 Needs,7/7 Needs,5/4 Status ,AE,SE,CSM,DSE,EA,AF,TA,BVS,Multiplier,Close Plan,DSR,Deck/Asset,Account Channel,Deal Channel ,Intake
CSC,,Wardah Ansari,POC,Completed,,,,,,"Next week: refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance","Next week: refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance","Next week: refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance","Refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance","Refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance","Refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance","Refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference. Education on Agentic COE and managing agents at scale/governance

Need to determine if this is still a need.","Refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference. Education on Agentic COE and managing agents at scale/governance

Need to determine if this is still a need.",Closing for now - focus on buy v build ,Closing for now - focus on buy v build ,Closing for now - focus on buy v build ,"Refine use cases/success for a POC.  Ultimate goal - support a joint presentation/demo in June at sales conference.  Also, a desire for education on Agentic COE and managing agents at scale/governance",Paula Rainford,Dominick Pergolizzi,None,Laura Case (POC Lead),NONE,NONE,NONE,Wes Frye,NONE,,DSR,,csc-account-channel,,"Laura will be discussing Agentforce SE/ITA bandwidth this evening (4/13).  Resources are really running near capacity this week and next.  Laura will support initial scoping call this week and next.  If TA is available for next week that would be great.  Also, let's make sure we engage BVS early"
LexisNexis,Activate,Jesse Sun,Architecture Review,Completed,7/1/2026,,,Onsite in ATL last wk for D360 wkshop in response to Healthcare RFI - outcome?,"Downselected in RFI for Healthcare Call Center 
Scoping pricing; prepping final demo","Downselected in RFI for Healthcare Call Center 
Scoping pricing; prepping final demo
Resources needed? ","Downselected in RFI for Healthcare Call Center 
Scoping pricing; prepping final demo
Resources needed? ","Meeting project lead this Thurs 4/30 to align on close plan. Unified Experience oppty might merge with larger MDM transformation project, introducing risk in delaying a Q2 deal. We need help with tactical or technical reasons around why we need to get started now to meet their internal go-live deadline by Nov. Will engage our Services team first, but all ideas are welcome!","[Healthcare] Meeting project lead 5/14 to align on project, timing, funding. 
Open: Deploy new org or existing? Alexandra supporting. Politics. 
MDM project implications - chunking workstreams to manage delay risk","[Healthcare] Meeting project lead 5/14 to align on project, timing, funding. 
Open: Deploy new org or existing? Alexandra supporting. Politics. 
MDM project implications - chunking workstreams to manage delay risk",[Healthcare] efforts moving forward with customer's needs and tight timeline for July 1 start with PS,"Healthcare efforts moving forward toward July 1 PS start. SWE request ($50K, 11x ROI) submitted 6/7 — pending L1 approval. Timeline remains tight.","Approvals for Unified Experience are in - moving forward. 
Mark Kelsey CEO approved the LNRS- Unified experience. We can send over PW to begin the legal process with goal of June 30 signature
Healthcare efforts on track toward 7/1 PS start. SWE request ($50K, 11x ROI) submitted 6/7 — confirm L1 approval status. Timeline remains tight.","Approvals for Unified Experience are in - moving forward. 
Mark Kelsey CEO approved the LNRS- Unified experience. We can send over PW to begin the legal process with goal of June 30 signature
Healthcare efforts on track toward 7/1 PS start. SWE request ($50K, 11x ROI) submitted 6/7 — confirm L1 approval status. Timeline remains tight.","Approvals for Unified Experience are in - moving forward. 
Mark Kelsey CEO approved the LNRS- Unified experience. We can send over PW to begin the legal process with goal of June 30 signature
Healthcare efforts on track toward 7/1 PS start. SWE request ($50K, 11x ROI) submitted 6/7 — confirm L1 approval status. Timeline remains tight.","Approvals for Unified Experience are in - moving forward. 
Mark Kelsey CEO approved the LNRS- Unified experience. We can send over PW to begin the legal process with goal of June 30 signature
Healthcare efforts on track toward 7/1 PS start. SWE request ($50K, 11x ROI) submitted 6/7 — confirm L1 approval status. Timeline remains tight.","Meeting project lead this Thurs 4/30 to align on close plan. Unified Experience oppty might merge with larger MDM transformation project, introducing risk in delaying a Q2 deal. We need help with tactical or technical reasons around why we need to get started now to meet their internal go-live deadline by Nov. Will engage our Services team first, but all ideas are welcome!",Tim Maguire,Bill Zawadski,Laura Ambrose,NONE,Alexandra Scott,NONE,NONE,Oye Coker-Dickens,Megan Emmer,,,,Lexisnexis Risk Solutions Inc.,"LNRS- Healthcare Agentic Optimization- AF, Data, Service",
Transunion,Solidify,Jesse Sun,POV's,Completed,,"Demo date 4/7, Bill Zawadski confirmed as coverage",4/7 Demo by Bill Zawadzki - Any change? ,"Scheduled dry runs with Jesse 3/31, 4/3. What is 4/7 Critical Date? ","Scheduled dry runs with Jesse 3/31, 4/3. What is 4/7 Critical Date? ",Update & Next Date?  ,Update & Next Date?  ,"Working on Sec Center pull fwd now for April. 
Awaiting feedback post AF demo for voice and chat. 
Vendor demos for eval wrapping up this week. 
Scheduling AF workshop is next, so support will be needed here. 
COFO meeting with TU COO tonight at dinner. @Meredith Schmidt meeting with SVP Transformation at WT NYC.","Sec Center - spend review 5/12; need to find funding, get approved.
Jim Roth intro'd to COO - SF on SF how does Jim run biz on AF (scheduling) [need to submit workflow for Jim via Slack]
Debrief with Meredith 5/14 post WT feedback; Tiffany asking Mere for opinion on SI?
AF Voice/Chat: Procurement down selection update; AF Workshop being scheduled (NEED JUNE TIMELINE NOW) ","Sec Center - spend review 5/12; need to find funding, get approved.
Jim Roth intro'd to COO - SF on SF how does Jim run biz on AF (scheduling) [need to submit workflow for Jim via Slack]
Debrief with Meredith 5/14 post WT feedback; Tiffany asking Mere for opinion on SI?
AF Voice/Chat: Procurement down selection update; AF Workshop being scheduled (NEED JUNE TIMELINE NOW) ","5/29 - Jim Roth Prep for SF on SF (how does Jim run biz on AF?)
Sec Center - spend review 5/12; need to find funding, get approved.
Debrief with Meredith 5/14 post WT feedback; Tiffany asking Mere for opinion on SI?","COMPLETE: 
Jim Roth Prep for SF on SF (how does Jim run biz on AF?)
Sec Center - spend review; need to find funding, get approved.
Debrief with Meredith post WT feedback; Opinion on SI","COMPLETE: CLOSE? 
Jim Roth Prep for SF on SF (how does Jim run biz on AF?)
Sec Center - spend review; need to find funding, get approved.
Debrief with Meredith post WT feedback; Opinion on SI","COMPLETE: CLOSE? 
Jim Roth Prep for SF on SF (how does Jim run biz on AF?)
Sec Center - spend review; need to find funding, get approved.
Debrief with Meredith post WT feedback; Opinion on SI","COMPLETE: CLOSE? 
Jim Roth Prep for SF on SF (how does Jim run biz on AF?)
Sec Center - spend review; need to find funding, get approved.
Debrief with Meredith post WT feedback; Opinion on SI","COMPLETE: CLOSE? 
Jim Roth Prep for SF on SF (how does Jim run biz on AF?)
Sec Center - spend review; need to find funding, get approved.
Debrief with Meredith post WT feedback; Opinion on SI","Working on Sec Center pull fwd now for April. 
Awaiting feedback post AF demo for voice and chat. 
Vendor demos for eval wrapping up this week. 
Scheduling AF workshop is next, so support will be needed here. 
COFO meeting with TU COO tonight at dinner. @Meredith Schmidt meeting with SVP Transformation at WT NYC.",Blair Wheatley,Bill Zawadski,Brittany Larson,NONE,NONE,NONE,NONE,Oye Coker-Dickens,NONE,,,Planning canvas Presentation,,,4/7 AI POV and education for CIO audience Other key participants from Solutions: Matt Crane
Brinks,Transform,Wardah Ansari,Executive Narratives,In Process,7/17/2026,,,,,"Activating Andy Benton team - in bakeoff against Oracle Field Service. To preserve BOM have to get in front of this. May need video. 
Positioning to deliver entire OCR process. 
On Standby :) 
May be able to leverage video from last year; have Priya Stipe join mtg Timothy Starr is setting up ","Activating Andy Benton team - in bakeoff against Oracle Field Service. To preserve BOM have to get in front of this. May need video. 
Positioning to deliver entire OCR process. 
On Standby :) 
May be able to leverage video from last year; have Priya Stipe join mtg Timothy Starr is setting up ","Need draft project plan for video completed! Same resources being used for all vids!

Likely levearge existing resources but change message to focus on competitive FS agains Oracle FS.","Competitive FS against Oracle FS.
Working with Accenture - they're putting together SOW comparisons of Oracle v SF + Risk, APIs, etc 
Nothing needed at this time - Should we close for now? 
BVS 5/12 - call tomorrow with Sales Ops on Value Realized with sales cloud","Competitive FS against Oracle FS.
Working with Accenture - they're putting together SOW comparisons of Oracle v SF + Risk, APIs, etc 
Nothing needed at this time - Should we close for now? 
BVS 5/12 - call tomorrow with Sales Ops on Value Realized with sales cloud","Competitive FS against Oracle FS: Working with Accenture - they're putting together SOW comparisons of Oracle v SF + Risk, APIs, etc 
Wes Frye Value realization with Sales Ops is held for 90-day customer freeze.","Competitive FS against Oracle FS: Working with Accenture - they're putting together SOW comparisons of Oracle v SF + Risk, APIs, etc 
Wes Frye Value realization with Sales Ops is held for 90-day customer freeze.

Now evaluating Palantir.",Competitive FS against Oracle FS — Accenture SOW comparison in progress. Wes Frye value realization on hold (90-day customer freeze). Now also evaluating Palantir. No immediate action needed.,No immediate action needed from POD. A lot on pause due to M&A. Internal note: should pivot to AFO. ,No immediate action needed from POD. A lot on pause due to M&A. Internal note: should pivot to AFO. ,Meeting with Laurent on 7/17 re: Palantir/Brinks better together PoV (Still pause for now) ,"Competitive FS against Oracle FS.
Working with Accenture - they're putting together SOW comparisons of Oracle v SF + Risk, APIs, etc 
Nothing needed at this time ",Tim Starr,Dominick Pergolizzi,None,NONE,NONE,NONE,NONE,Wes Frye,"Sasha Freedman, Priya Stipe",,,,Brinks Inc,oppty-brinks-routemgmt,
Corpay,Solidify,Wardah Ansari,POC,In Process,,,,,Sep BU - Service Use Case - Early Stages; Needs more vetting; Internal (CUSTOMER) mtg 4/8. NOT Q1,"4/8 Meeting Outcomes? 
Sep BU - Service Use Case - Early Stages; successful demo - checking in with team on 4/21 for next steps
NOT Q1",Sep BU - Service Use Case - Early Stages; successful demo - checking in with team on 4/21 for next steps,Sep BU - Service Use Case - Early Stages; successful demo - checking in with team on 4/21 for next steps,Small Pilot - Service Use Case - Early Stages; Next Steps? ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Risk: Not success criteria; what needs to happen by June to deem POC successful? Only tying to ROI right now and too tight time to see it ,Small Pilot - Service Use Case - Early Stages; Next Steps? ,Brian Leslie,Ashley Berger,None,Laura Case (POC Lead),NONE,NONE,NONE,NONE,NONE,,,,Corpay Technologies Operating Company,fy27-corpay-agentforce-service-project ,
Allied Universal,Transform,Wardah Ansari,Transformational Engagement,In Process,,,,,"4/7 - team is working towards an onsite ""Establishign a foundation- Considerations to Achieve a Unified Customer Record"" week of 4/20","Onsite scheduled for 4/23  ""Establishing a foundation- Considerations to Achieve a Unified Customer Record"" ","Onsite scheduled for 4/23  ""Establishing a foundation- Considerations to Achieve a Unified Customer Record"" ","4/28 - great outcome- re earning trust with customer. Putting Pro serv engagement SOW in front of them as they seek to split orgs and establish a NA org.
4/23 Outcomes?
""Establishing a foundation- Considerations to Achieve a Unified Customer Record"" ","Putting Pro serv engagement SOW in front of them as they seek to split orgs and establish a NA org.
First pass pricing & Biz case delivered to customer 4/29
5/12 BVS - presented biz case & value stories/proof points to CTO last week -- all quiet.  
More important, the cost of doing nothing by putting bad data into their Org.","Putting Pro serv engagement SOW in front of them as they seek to split orgs and establish a NA org.
First pass pricing & Biz case delivered to customer 4/29
5/12 BVS - presented biz case & value stories/proof points to CTO last week -- all quiet.  
More important, the cost of doing nothing by putting bad data into their Org.","Working towards a close. SOW was to be sent late last week  as they seek to split orgs and establish a NA org.
BVS presented biz case & value stories/proof points to CTO last week -- all quiet.  
More important, the cost of doing nothing by putting bad data into their Org.","Working towards a close. SOW was to be sent late last week as they seek to split orgs and establish a NA org.
BVS presented biz case & value stories/proof points to CTO last week -- all quiet.  
More important, the cost of doing nothing by putting bad data into their Org.","6/16/2026 finalizing SOW. CTO has last minute ask around data and ability to report across OU outside of SF. Moving in right direction
NO CHANGE! LAST: Working towards a close. SOW was to be sent late last week as they seek to split orgs and establish a NA org.
BVS presented biz case & value stories/proof points to CTO last week -- all quiet.  
More important, the cost of doing nothing by putting bad data into their Org.",At final stages; presenting biz case 6/26. No POD support needed at this time. ,At final stages; presenting biz case 6/26. No POD support needed at this time. ,At final stages; presenting biz case 6/26. No POD support needed at this time. ,"Putting Pro serv engagement SOW in front of them as they seek to split orgs and establish a NA org.
First pass pricing & Biz case delivered to customer 4/29
5/5 BVS - needs more inputs for BVS case -- Collecting value stories/proof points.  
More important, the cost of doing nothing by putting bad data into their Org.",Madalena Santana,Bill Zawadski,None,NONE,Alexandra Scott,NONE,Jake Connors,Wes Frye,NONE,,,,Allied Universal Services,,
Cotality (CoreLogic),Transform,Wardah Ansari,POC,Planning,,,,,,,,"NEW! A2A pilot POC for Cotality; Customer is still working on finalizing use cases and success criteria.

Product is leaning in. ",5.11 - Account team meeting this week to refine use cases and then will arrange a formal kickoff,5.11 - Account team meeting this week to refine use cases and then will arrange a formal kickoff,NEED UPDATE: 5/11 Account team mtg to refine use cases and then will arrange a formal kickoff,NEED UPDATE: 5/11 Account team mtg to refine use cases and then will arrange a formal kickoff,NEED UPDATE: 5/11 Account team mtg to refine use cases and then will arrange a formal kickoff,NEED UPDATE: 5/11 Account team mtg to refine use cases and then will arrange a formal kickoff,NEED UPDATE: 5/11 Account team mtg to refine use cases and then will arrange a formal kickoff,NEED UPDATE: 5/11 Account team mtg to refine use cases and then will arrange a formal kickoff,A2A pilot POC for Cotality; Customer is still working on finalizing use cases and success criteria.,Madalena Santana,Bill Zawadski,,Laura Case (POC Lead),NONE,NONE,NONE,NONE,NONE,,,,CoreLogic Solutions,cotality-a2a-pilot,
LexisNexis,Activate,Jesse Sun,SIC,Completed,,"Team currently onsite in London - next step being proposed for use case workshopping/refinement. Date TBD 

RFP - data, marketing, etc. onsite next week. ","London Recap? Use Case Workshop proposed? 
Next Critical Date? 
REVIEW: EA DSR; DISCUSS: RFP Onsite? ","SIC Takeaway: All 4 BUs feel they'll fall behind on AI strategy until they fix foundational issues (tool sprawl, data fragmentation, governance gaps).

Next Steps to Address: Deploy an agent in a contained, high-frequency workflow; advise on CoE/governance model; use cross-BU peer evidence (RX Global on Revenue Cloud Advanced, LNRS Unity Agent); develop North Star POVs per account. 

Open question: One unified RELX readback vs. separate, tailored readbacks per BU — leaning toward separate given distinct priorities.

UPDATE? who is running point on SIC Next Steps/what team is needed for support, and where did we land on BU specific v. overall readback?",Team leaning toward separate per-BU readbacks given different priorities per entity. North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. Megan Emmer is driving post-SIC next steps.,"North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ","North Star POV canvas drafted. Internal VOC-to-next-steps canvas created. 
Megan Emmer is driving post-SIC next steps.
Update & Next Date?  ",Tim Maguire,Bill Zawadski,,NONE,Alexandra Scott,NONE,NONE,NONE,NONE,,"DSR (On Hold)
EA DSR ",,,,"Customer has requested licensing for AF POC. To ensure success, acct team wants SE-led Advisory engagement to support. We ran a lengthy one last year for D360 and it never got traction due to misalignment, exec sponsorship challenges. Can we get a better sense on the path to deal with this one?"
Experian,Solidify,TBD,Agentforce Consumption,Postponed,5/29/2026,"ALL ON HOLD!
F/U - Activity with exec alignment in Miami this week ","NEED: an executive briefing on Agentforce + AI POV plus an ideation session stemming from Julie's meeting with Experian's global CEO/CFO/CIO [Discuss: Synergies with companies as ideation?]
NEXT: mtg with exec sponsor next week to discuss agenda; NEED strawman in place ahead of that call so we have something to iterate on
Chris McKrill designing ideation session (based on Paylocity?)

DISCUSS: Sales Coach Agent, EA engagement, A4Sales 101 demo, IT Tech Summit, 2 RFPs, Commerce Cloud, Agent Fabric demo, AI phone transcript POC, Data Cloud POT with Slalom, contact cleanup project - multiple workstreams not reflected ","3/31/26 - AJ - COO session to discuss desire to reduce seller time by 50% - assessing process changes
Jake (TA)  reaching out to AE. Need alignment call - a lot going on. Connect team with Julie - UPDATE?
3/31 - Planning Workshop/Discovery for Service Cloud Migration. POC/Pilot on hold per customer until after EA discussion
A CDP RFP vendor demo is scheduled for the week of April 6–10.","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 
POC/Pilot on hold per customer until after EA discussion
Update? Alexandra Scott providing","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 
POC/Pilot on hold per customer until after EA discussion
Update? Alexandra Scott providing","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 
POC/Pilot on hold per customer until after EA discussion
Update <<HERE>> Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ","COO session to discuss desire to reduce seller time by 50% - assessing process changes
Planning Workshop/Discovery for Service Cloud Migration. 

Alexandra Scott proposing in person workshop to examine business process across P2C to identify bottlenecks and areas for automation/agentification. Will result in capability focused roadmap and recommendations. Meeting with customer early next week to review charter and align on deliverables. SUggest we bring in a partner to build roadmap for their partner Cirrus to implement. IDeally we'd like to share roadmap at upcoming SIC in London, and understand SIC for Biran (What does it take to become agentic enterprise) and what Jim wants (what do I need to do) are not mutually exclusive, but complimentary ",Jake Weinberg,Ashley Berger,,,Alexandra Scott,NONE,Jake Connors,N/A,N/A,,DSR,Multipliers | Experian Agentic Enterprise SIC,,,Support on sales coach rollout (additional AF use case support DS-1673693 has been put on hold due to other priorities at Experian)
Corpay,Solidify,Wardah Ansari,POV's,Completed,,,,,Sep BU - Service Use Case - Early Stages; Needs more vetting; Internal (CUSTOMER) mtg 4/8. NOT Q1,"4/8 Meeting Outcomes? 
Sep BU - Service Use Case - Early Stages; successful demo - checking in with team on 4/21 for next steps
NOT Q1",Sep BU - Service Use Case - Early Stages; successful demo - checking in with team on 4/21 for next steps,Sep BU - Service Use Case - Early Stages; successful demo - checking in with team on 4/21 for next steps,Small Pilot - Service Use Case - Early Stages; Next Steps? ,"Ask to help with a strategic vision across the various Corpay workstreams that came from the consumption prioritization call.

TIMING: Need to get POCs on the rails first ","Ask to help with a strategic vision across the various Corpay workstreams that came from the consumption prioritization call.

TIMING: Need to get POCs on rails first ","Ask to help with a strategic vision across the various Corpay workstreams that came from the consumption prioritization call.

TIMING: Need to get POCs on rails first ","Ask to help with a strategic vision across the various Corpay workstreams that came from the consumption prioritization call.

TIMING: Need to get POCs on rails first ",Consolidate with other row - remove,Consolidate with other row - remove,Consolidate with other row - remove,Small Pilot - Service Use Case - Early Stages; Next Steps? ,Brian Leslie,Ashley Berger,None,Laura Case (POC Lead),NONE,NONE,NONE,NONE,NONE,,,,Corpay Technologies Operating Company,fy27-corpay-agentforce-service-project ,
Cotality (CoreLogic),Transform,Wardah Ansari,POC,Completed,,,,,,,,"NEW! Laura Case flagged a second request for a Cotality AF workshop (end of May, Irvine, CA — hands-on workshop separate from A2A pilot).

Date TBD. Expecting solid workshop orgs by end of May.","Cotality AF workshop (June 4, Irvine, CA — hands-on workshop separate from A2A pilot).

Date TBD. Expecting solid workshop orgs by end of May.","Cotality AF workshop (June 4, Irvine, CA — hands-on workshop separate from A2A pilot).

Date TBD. Expecting solid workshop orgs by end of May.","Cotality AF workshop (June 4, Irvine, CA — hands-on workshop separate from A2A pilot).","AF workshop held 6/4 in Irvine (hands-on, separate from A2A pilot). Consumption lead assigned. Next steps TBD.","NO CHANGE! LAST: AF workshop held 6/4 in Irvine (hands-on, separate from A2A pilot). Consumption lead assigned. Next steps TBD — check in with account team for update.",No POD Support needed til we have stronger exec alignment. ,No POD Support needed til we have stronger exec alignment. ,No POD Support needed til we have stronger exec alignment. ,"Cotality AF workshop (June 4, Irvine, CA — hands-on workshop separate from A2A pilot).

Date TBD. Expecting solid workshop orgs by end of May.",Madalena Santana,Bill Zawadski,None,Laura Case (POC Lead),NONE,NONE,Or Cingilli,NONE,NONE,,DSR,,CoreLogic Solutions,,
